,month,time,station,year,dow,Temperature,Dew Point,Humidity,Weather Category,Actual,Predicted
139,4,4,8,2016,6,84,77,79,1,10,22.09099758797401
140,4,5,8,2016,6,78,70,75,2,350,228.4927869350509
141,4,6,8,2016,6,78,70,75,2,1016,928.2232297668694
142,4,7,8,2016,6,78,70,75,2,1422,1267.1871215430342
143,4,8,8,2016,6,76,71,83,2,1275,1249.0733339832923
144,4,9,8,2016,6,76,71,83,2,1054,1037.1169266099341
145,4,10,8,2016,6,76,71,83,2,985,954.9963690725423
146,4,11,8,2016,6,82,72,70,3,866,925.8744396479399
147,4,12,8,2016,6,82,72,70,3,941,940.9819368606092
148,4,13,8,2016,6,82,72,70,3,923,925.621628798715
149,4,14,8,2016,6,85,75,72,2,1008,1112.9017593842289
150,4,15,8,2016,6,85,75,72,2,1041,1155.6359095974112
151,4,16,8,2016,6,85,75,72,2,1179,1094.5926385081927
152,4,17,8,2016,6,91,71,53,2,1464,1470.8729665214926
153,4,18,8,2016,6,91,71,53,2,1404,1442.8079285199506
154,4,19,8,2016,6,91,71,53,2,1187,1337.515995267472
155,4,20,8,2016,6,82,77,84,3,839,1161.3865744874604
156,4,21,8,2016,6,82,77,84,3,729,830.6449137043519
157,4,22,8,2016,6,82,77,84,3,373,428.0948989507336
158,4,23,8,2016,6,84,72,66,2,0,0.0
